dataset,split,strategy,n_context,roc_auc,average_precision,brier_score,ece,runtime_seconds
lending_club,lc_post_crisis,high_confidence,512,0.3253965158659908,0.13236243813952892,0.7774852992557137,0.7829661847034931,28.3333312086761
lending_club,lc_post_crisis,high_confidence,1024,0.30571406573559384,0.12858520011790045,0.7590136827903367,0.7629344247774592,33.60791242308915
lending_club,lc_post_crisis,diverse,128,0.6318035295822155,0.2794660489976873,0.1555695090005219,0.0800089947561987,25.86387997493148
lending_club,lc_post_crisis,diverse,256,0.6584766394898441,0.30274499158635215,0.14745588006871688,0.027698870238087373,28.38250225223601
lending_club,lc_post_crisis,diverse,512,0.6961642438255036,0.32995205667155136,0.14328361110197552,0.033665467277207504,30.137225771322846
lending_club,lc_post_crisis,diverse,1024,0.6857298091367834,0.31955747867290973,0.14973092939927302,0.06617367052034846,31.027154052630067
lending_club,lc_recent,xgboost_full_pool,150525,0.6885930468045087,0.332678176689573,0.1487118549276839,0.021021069430727884,18.222652794793248
lending_club,lc_recent,random,128,0.6721109451915479,0.3209862357713864,0.1593626049150352,0.07827718755577324,6.879461284726858
lending_club,lc_recent,random,256,0.6627025771522339,0.3112604598050481,0.1510430206718381,0.01911077884641228,10.283447651192546
lending_club,lc_recent,random,512,0.670133305334188,0.3202280783106053,0.15206912426620464,0.03542212220540345,9.796190766617656
lending_club,lc_recent,random,1024,0.6702078007002259,0.3146615644158458,0.15075434928980444,0.03301860465902912,10.26402248814702
lending_club,lc_recent,most_recent,128,0.6051442287600246,0.2568467417005161,0.15631167180479572,0.027873696486177584,11.05417119525373
lending_club,lc_recent,most_recent,256,0.6605106439224269,0.3093254794334154,0.15255327604476132,0.04362223780915179,7.282734893262386
lending_club,lc_recent,most_recent,512,0.6702658352558344,0.31683324456964995,0.15049722659988565,0.03128773363904642,10.688387477770448
lending_club,lc_recent,most_recent,1024,0.6814095311130766,0.32953749632647017,0.14925119977513987,0.03199918074736854,12.628376258537173
lending_club,lc_recent,class_balanced,128,0.6315049515053812,0.27814762296872025,0.24062179823271576,0.2939991600438869,5.175740538164973
lending_club,lc_recent,class_balanced,256,0.6650055589085353,0.3132051273000275,0.22960530423865344,0.26694054092215735,3.836663907393813
lending_club,lc_recent,class_balanced,512,0.6794657464150109,0.32510549155220825,0.23440617534919989,0.2800762335538837,11.529145898297429
lending_club,lc_recent,class_balanced,1024,0.6705896704788021,0.3179320199338088,0.23875910562188288,0.2847566645123328,12.90390045940876
lending_club,lc_recent,economically_similar,128,0.6192727523351513,0.29331963013426543,0.15993781352113287,0.08199297068638492,5.494749991223216
lending_club,lc_recent,economically_similar,256,0.6691073766270016,0.31533029521474226,0.15164202878136676,0.04274638414619594,10.947565164417028
lending_club,lc_recent,economically_similar,512,0.6567572262519797,0.3086619795130946,0.15484242656610425,0.061431799845538794,11.283577283844352
lending_club,lc_recent,economically_similar,1024,0.672054647568042,0.32160387327306317,0.1555348660303356,0.07476792536763209,8.560725344344974
lending_club,lc_recent,high_confidence,128,0.4046723508595639,0.16297268952594166,0.4244017583740963,0.4995742748913383,7.0155238546431065
