dataset,split,strategy,n_requested,n_seeds,roc_auc_mean,roc_auc_ci95,average_precision_mean,average_precision_ci95,brier_score_mean,brier_score_ci95,ece_mean,ece_ci95
freddie_mac,fm_late,high_confidence,512,5,0.35486172047101555,0.021642662678117142,0.0062614198547346,0.0003102085726050031,0.8859212292732288,0.006230835133742741,0.9344158484237193,0.003684039755436803
freddie_mac,fm_late,high_confidence,1024,5,0.28287703162064226,0.008724952071522445,0.005542227320425119,0.00016122070734538464,0.9134228628288801,0.005834779005477087,0.9482607460728885,0.0032992414227545146
freddie_mac,fm_late,most_recent,128,5,0.6614245754531825,0.007871719197972646,0.01864374491897782,0.000774767039473745,0.02330758966730144,0.002267294172754882,0.02884894062821562,0.0023958144137455235
freddie_mac,fm_late,most_recent,256,5,0.7514997737969261,0.008805736734923481,0.027108289128129136,0.0008433910768015114,0.0133509729335955,0.0008859163652444867,0.016715953082516742,0.002553493631758307
freddie_mac,fm_late,most_recent,512,5,0.7601125883265827,0.0031439047601365807,0.02686902966816186,0.0006325773649089499,0.01155953450376242,0.0004200438986793568,0.012791977511972159,0.0011198819220918689
freddie_mac,fm_late,most_recent,1024,5,0.7490669750763819,0.0048301832003854175,0.02553685837271546,0.0011366412981257505,0.0091289442739573,0.00016782311207376942,0.0039945674829184406,0.0008805702157185869
freddie_mac,fm_late,random,128,5,0.6572423335008704,0.04879591733501746,0.015579424164365299,0.003970247869995043,0.009703691284227881,0.001051411177333224,0.021483492186590958,0.018140549960304973
freddie_mac,fm_late,random,256,5,0.7025149449293601,0.0986903983081254,0.021035362951915777,0.00796461885923474,0.008742197382239641,0.00013055021320271764,0.00824107748364652,0.004350685115862528
freddie_mac,fm_late,random,512,5,0.7182241022582933,0.07588540141040784,0.02121899012783348,0.008827891098511738,0.00900120057109202,0.0009402708949511476,0.00930161949041108,0.008177096991106499
freddie_mac,fm_late,random,1024,5,0.7294453506203431,0.055384932705091226,0.0247519861337384,0.007455490982937164,0.00873730065131428,0.00039110202796264587,0.0042643405294306,0.005777479802328869
freddie_mac,fm_late,xgboost_full_pool,100000,5,0.7708733511952875,0.0027050143084893672,0.02788713681919276,0.000664792137618097,0.00858893411915098,3.017465906939385e-06,0.0024406457615419796,5.8328623209361105e-05
freddie_mac,fm_late,xgboost_tuned,100000,5,0.7909912603611329,0.0032827559809009443,0.0314393228867619,0.0005342784751136097,0.00853067128905042,8.801537154942304e-06,0.00339063397194068,0.00035849391002471106
lending_club,lc_post_crisis,class_balanced,128,5,0.6444107904840986,0.04585373796928283,0.28067210367948225,0.042657839490033794,0.23158282513035214,0.010154758025235253,0.2825223266055158,0.017754786798435812
lending_club,lc_post_crisis,class_balanced,256,5,0.6685983838901615,0.014336181725264718,0.30579218724844026,0.00875322306129473,0.22892521762489498,0.007460802163419909,0.2814570161224397,0.016623488284697945
lending_club,lc_post_crisis,class_balanced,512,5,0.6854648586958975,0.009199569709852348,0.32381223269512366,0.005472913501345911,0.2269509205312375,0.004263720641622399,0.2819683084046078,0.011792773921821396
lending_club,lc_post_crisis,class_balanced,1024,5,0.6865265538528461,0.019149573191827935,0.3222733107828715,0.021091789736060292,0.23010940367121804,0.012301330319611007,0.28722259340090067,0.01955929239508138
lending_club,lc_post_crisis,diverse,128,5,0.569626315651351,0.04796924046759915,0.2294823587376817,0.036903655720551105,0.15520564514082918,0.004250484807622491,0.05328324315497892,0.043548381997173084
lending_club,lc_post_crisis,diverse,256,5,0.6410729798759874,0.08034370126711594,0.28741148467550726,0.06230302422413539,0.1483087274534,0.005830182234530967,0.04433468663125456,0.015862927548612526
lending_club,lc_post_crisis,diverse,512,5,0.6567229388891006,0.047712288802760155,0.2950659535604133,0.03293233568535816,0.14872430716227494,0.00512642934428881,0.051018276962315944,0.014400578307852288
lending_club,lc_post_crisis,diverse,1024,5,0.6886647839887436,0.008793322150948161,0.3223870909829944,0.012012780979768769,0.14694843256181328,0.002145774959493916,0.057424557622799896,0.006126667843107309
lending_club,lc_post_crisis,economically_similar,128,5,0.6022603460518816,0.05655439700174335,0.24762292532729852,0.04082193621541573,0.15128613264581592,0.0033938753618501416,0.027388252054704642,0.013236674159833102
lending_club,lc_post_crisis,economically_similar,256,5,0.6617190588624584,0.033841569690759014,0.2954776304688383,0.026161020665479272,0.15076292819836176,0.003568790245944618,0.06458497211512453,0.019917215542286468
lending_club,lc_post_crisis,economically_similar,512,5,0.6755662053725597,0.022079250780148236,0.31035487038491877,0.024416276417679274,0.14778385300460692,0.0032376560338035726,0.05165743236513798,0.012523572064006892
lending_club,lc_post_crisis,economically_similar,1024,5,0.6850356642675239,0.011395975742553984,0.31760269017631115,0.01238126149244949,0.14565181216864137,0.002077209913428444,0.047569466794741846,0.013389187894733267
lending_club,lc_post_crisis,high_confidence,128,5,0.44797945194646915,0.0486774704677349,0.17066273845265698,0.02028503099438443,0.7714121971788376,0.01245674577413353,0.7836902542095998,0.005917464482444175
lending_club,lc_post_crisis,high_confidence,256,5,0.37514302596942445,0.07688799868796681,0.14950760440809313,0.0297193939393405,0.7851844557411864,0.011331305378032673,0.7900328757708575,0.008181925943084029
lending_club,lc_post_crisis,high_confidence,512,5,0.34126248639438306,0.03704818065119538,0.13763924964863294,0.012875310841216325,0.7834159576816644,0.0043447941004231055,0.7872115622088052,0.0033644772743260712
lending_club,lc_post_crisis,high_confidence,1024,5,0.318348325500323,0.009674189067580378,0.1306306403746133,0.0015923994104617646,0.7562273177957983,0.007111310882524183,0.7628262977573265,0.004154061570834584
lending_club,lc_post_crisis,most_recent,128,5,0.5849397381810377,0.06993779528129518,0.2392657778570637,0.05090335844964282,0.15595907679496668,0.004618296023756498,0.06681332445888416,0.03234846817739652
